Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"solder flux","Its flex it helps solder stick to stuff",1,4.00,"https://ar.aliexpress.com/item/1005008459768970.html?spm=a2g0o.productlist.main.14.4a963ac2UXQEfc&algo_pvid=0c2f3913-84bb-44f7-85ca-93f9f50e2170&algo_exp_id=0c2f3913-84bb-44f7-85ca-93f9f50e2170-13&pdp_ext_f=%7B%22order%22%3A%22744%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.24%210.90%21%21%2115.18%216.07%21%40211b815c17762886178662220e57eb%2112000045227494964%21sea%21DZ%213412986163%21X%211%210%21n_tag%3A-29911%3Bd%3A45082b30%3Bm03_new_user%3A-29895&curPageLogUid=YRy7BN9yp5nG&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008459768970%7C_p_origin_prod%3A","Aliexpress"
"Thumbsticks","It's so the control will actualy be useable",1,2.50,"https://www.temu.com/goods.html?_bg_fs=1&goods_id=601102485459414&sku_id=17604941618844&_oak_page_source=501&_x_sessn_id=xhiuncj8vo&refer_page_name=shopping_cart&refer_page_id=10037_1776288254828_afm6oywh43&refer_page_sn=10037","Temu"
"Solder Wick","To absorb solder",1,2.00,"https://www.temu.com/goods.html?_bg_fs=1&goods_id=601099549740217&sku_id=17592356802647&_oak_page_source=501&refer_page_name=goods&refer_page_id=10032_1776288364052_c66h5ls1yl&refer_page_sn=10032&_x_sessn_id=bm49lngega","Temu"
"Soldering Iron Tip","All my tips got oxidized and aren't conducting heat anymore",1,4.00,"https://www.temu.com/dz-en/10pcs--t-i-type-pure-copper-soldering-iron-tip-replacement-soldering-iron-tip-set-for--station-tools-g-601099679613463.html?_oak_mp_inf=EJeEg%2Bem1ogBGiA5YzBmMDRiMmNmODg0MmE4YmFiYjMwNzJmZWE1Y2IyZiCqhZyX2TM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Ffancy%2F8aec3cf9-165b-458f-bcfb-eab028360346.jpg&spec_gallery_id=13505&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=Mzk3&_oak_gallery_order=675480246%2C1496898169%2C687445418%2C408468342%2C560479646&search_key=copper%20soldering%20iron%20tips&refer_page_el_sn=200049&_x_sessn_id=xhiuncj8vo&refer_page_name=search_result&refer_page_id=10009_1776286109461_q3v6b9ptbh&is_back=1","Temu"
"MCP3008","the pico pi doesnt have enough adc",1,2.75,"https://ar.aliexpress.com/item/1005006649507949.html?spm=a2g0o.productlist.main.39.3593360bBdE8tu&algo_pvid=f02052cf-9fa7-4526-a7aa-73ace621d815&algo_exp_id=f02052cf-9fa7-4526-a7aa-73ace621d815-34&pdp_ext_f=%7B%22order%22%3A%2215%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.66%212.66%21%21%2118.00%2118.00%21%40211b680e17762814342147982e2d1d%2112000037923926662%21sea%21DZ%213412986163%21X%211%210%21n_tag%3A-29911%3Bd%3A45082b30%3Bm03_new_user%3A-29895&curPageLogUid=KSzUQSvsDYc7&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006649507949%7C_p_origin_prod%3A","Aliexpress"
"Custom-designed PCB","",1,1.00,"","aivon"
"Push Button Switch","",10,2.25,"https://www.temu.com/dz-en/50pcs-6-6-5mm-tactile--pin-push-button-g-601099520633185.html?_oak_mp_inf=EOHSm5um1ogBGiBkNWExY2I3NmMxZmU0OTE5YWZhNjlhZTgwNzA1MmFmMiD3tb7U1zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2FFancyalgo%2FVirtualModelMatting%2F3515468c7d0279b3e57754be255a7032.jpg&spec_gallery_id=999&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=MjE4&_oak_gallery_order=467107692%2C1177025127%2C992419160%2C1152377276%2C1321768985&search_key=Push%20Button%20Switch&refer_page_el_sn=200049&_x_sessn_id=xhiuncj8vo&refer_page_name=search_result&refer_page_id=10009_1775877727263_tkhm6whjvs","Temu"
"COM-09032","",2,5.50,"https://www.temu.com/dz-en/2-pieces-for-ps3-ps4--360-one-game-controller-3d-joystick-ps5-3d-joystick-repair-accessories-g-601099529501202.html?_oak_mp_inf=EJL0uJ%2Bm1ogBGiA0N2JiYTcwNjIyYWU0ZDYxODMwOWRlNzFlNDQ2ZmM3MSDgm7XU1zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2FFancyalgo%2FVirtualModelMatting%2Fc85d4110f737e1381c65e81b9750816d.jpg&spec_gallery_id=1480&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=Mjc3&_oak_gallery_order=1070352560%2C1808129964%2C1750658163%2C1875616321%2C1354138391&search_key=ps%204%20joy%20stick&refer_page_el_sn=200049&refer_page_name=search_result&refer_page_id=10009_1775877025750_fymwcu2vvj&_x_sessn_id=xhiuncj8vo","Temu"
"Raspberry Pi Pico","",1,5.50,"https://www.temu.com/dz-en/-pico-development-board---264kb-arm--m0-mcu-low-power--compatible-with-csdk-g-601099678816052.html?_oak_mp_inf=ELSu0uam1ogBGiBjYTBiNDZkODkyNjA0ZTBmYmI4OWVlNDA4ZWU5ZjI3YiC7lYnU1zM%3D&top_gallery_url=https%3A%2F%2Fimg.kwcdn.com%2Fproduct%2Fopen%2F2024-09-20%2F1726839914246-af33b1277a3449ca82eabfd7b8d06a9b-goods.jpeg&spec_gallery_id=14172&refer_page_sn=10009&freesia_scene=2&_oak_freesia_scene=2&_oak_rec_ext_1=NTA0&_oak_gallery_order=753521101%2C1510466277%2C66760675%2C661192052%2C890102327&search_key=raspberry%20pi%20pico&refer_page_el_sn=200049&_x_sessn_id=xhiuncj8vo&refer_page_name=search_result&refer_page_id=10009_1775876852854_nqtu83j3qf","Temu"
"3D Printed Case","",1,5.00,"",""
